,warehouse,date,Predicted roads
0,Cergy,2021-01-01,"[['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy']]"
1,Cergy,2021-01-02,"[['Cergy', 'Amiens', 'Boulogne-sur-Mer', 'Rouen', 'Caen', 'Saint-Nazaire', 'Antony', 'Boulogne-Billancourt', 'Issy-les-Moulineaux', 'Montreuil', 'Aubervilliers', 'Saint-Denis'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy']]"
2,Cergy,2021-01-03,"[['Cergy', 'Épinay-sur-Seine', 'Saint-Denis', 'Aubervilliers', 'Drancy', 'Montreuil', 'Ivry-sur-Seine', 'Antony', 'Courcouronnes', 'Créteil', 'Saint-Maur-des-Fossés', 'Champigny-sur-Marne', 'Noisy-le-Grand', 'Meaux', 'Amiens', 'Boulogne-sur-Mer', 'Rouen', 'Caen', 'Quimper', 'Lorient', 'Saint-Nazaire', 'Le Mans', 'Versailles', 'Boulogne-Billancourt', 'Issy-les-Moulineaux', 'Levallois-Perret', 'Neuilly-sur-Seine', 'Nanterre'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy']]"
3,Cergy,2021-01-04,"[['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy', 'Beauvais', 'Amiens', 'Calais', 'Boulogne-sur-Mer', 'Rouen', 'Caen', 'Rennes', 'Quimper', 'Lorient', 'Saint-Nazaire', 'Le Mans', 'Tours', 'Orléans', 'Courcouronnes', 'Antony', 'Ivry-sur-Seine', 'Maisons-Alfort', 'Créteil', 'Saint-Maur-des-Fossés', 'Champigny-sur-Marne', 'Noisy-le-Grand', 'Meaux', 'Aulnay-sous-Bois', 'Le Blanc-Mesnil', 'Drancy', 'Montreuil', 'Pantin', 'Aubervilliers', 'Saint-Denis', 'Épinay-sur-Seine'], ['Cergy', 'Colombes', 'Carrières-sur-Seine', 'Clichy', 'Levallois-Perret', 'Neuilly-sur-Seine', 'Issy-les-Moulineaux', 'Boulogne-Billancourt', 'Versailles', 'Rueil-Malmaison', 'Nanterre']]"
4,Cergy,2021-01-05,"[['Cergy', 'Colombes', 'Nanterre', 'Rueil-Malmaison', 'Versailles', 'Boulogne-Billancourt', 'Antony', 'Vitry-sur-Seine', 'Maisons-Alfort', 'Montreuil', 'Pantin', 'Saint-Denis', 'Épinay-sur-Seine', 'Sarcelles'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy', 'Colombes', 'Courbevoic', 'Neuilly-sur-Seine', 'Levallois-Perret', 'Carrières-sur-Seine', 'Clichy', 'Aubervilliers', 'Drancy', 'Le Blanc-Mesnil', 'Aulnay-sous-Bois', 'Meaux', 'Noisy-le-Grand', 'Saint-Maur-des-Fossés', 'Créteil', 'Courcouronnes', 'Orléans', 'Tours', 'Le Mans', 'Angers', 'Nantes', 'Saint-Nazaire', 'Quimper', 'Brest', 'Rennes', 'Caen', 'Rouen', 'Boulogne-sur-Mer', 'Calais', 'Amiens', 'Beauvais']]"
5,Cergy,2021-01-06,"[['Cergy', 'Colombes', 'Pantin', 'Montreuil', 'Champigny-sur-Marne', 'Montreuil'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy', 'Rueil-Malmaison', 'Antony', 'Courcouronnes', 'Créteil', 'Saint-Maur-des-Fossés', 'Noisy-le-Grand', 'Meaux', 'Beauvais'], ['Cergy', 'Nanterre', 'Issy-les-Moulineaux', 'Ivry-sur-Seine', 'Vitry-sur-Seine', 'Maisons-Alfort', 'Drancy', 'Le Blanc-Mesnil', 'Sarcelles'], ['Cergy', 'Courbevoic', 'Neuilly-sur-Seine', 'Levallois-Perret', 'Carrières-sur-Seine', 'Clichy', 'Épinay-sur-Seine'], ['Cergy', 'Amiens', 'Calais', 'Boulogne-sur-Mer', 'Rouen', 'Le Havre', 'Caen', 'Rennes', 'Brest', 'Quimper', 'Lorient', 'Nantes', 'Angers', 'Le Mans', 'Tours', 'Orléans']]"
6,Cergy,2021-01-07,"[['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy', 'Beauvais', 'Calais', 'Dunkerque', 'Amiens', 'Beauvais'], ['Cergy', 'Rouen', 'Le Havre', 'Caen', 'Quimper', 'Lorient', 'Rennes'], ['Cergy', 'Sarcelles', 'Drancy', 'Le Blanc-Mesnil', 'Aulnay-sous-Bois', 'Champigny-sur-Marne', 'Saint-Maur-des-Fossés', 'Pantin'], ['Cergy', 'Drancy', 'Noisy-le-Grand', 'Champigny-sur-Marne', 'Montreuil', 'Pantin', 'Aubervilliers', 'Épinay-sur-Seine'], ['Cergy', 'Nanterre', 'Issy-les-Moulineaux', 'Courcouronnes', 'Créteil', 'Maisons-Alfort', 'Ivry-sur-Seine', 'Neuilly-sur-Seine', 'Courbevoic'], ['Cergy', 'Épinay-sur-Seine', 'Saint-Denis', 'Champigny-sur-Marne', 'Noisy-le-Grand', 'Meaux', 'Sarcelles'], ['Cergy', 'Rueil-Malmaison', 'Courbevoic', 'Neuilly-sur-Seine', 'Levallois-Perret', 'Clichy', 'Carrières-sur-Seine'], ['Cergy', 'Carrières-sur-Seine', 'Clichy', 'Aubervilliers', 'Épinay-sur-Seine'], ['Cergy', 'Boulogne-Billancourt', 'Antony', 'Courcouronnes', 'Orléans', 'Angers', 'Nantes', 'Saint-Nazaire', 'Le Mans']]"
7,Cergy,2021-01-08,"[['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy', 'Beauvais', 'Dunkerque', 'Boulogne-sur-Mer', 'Cherbourg', 'Brest', 'Quimper', 'Rennes', 'Caen', 'Le Havre'], ['Cergy', 'Épinay-sur-Seine', 'Saint-Denis', 'Aubervilliers', 'Pantin', 'Paris', 'Boulogne-Billancourt', 'Nanterre'], ['Cergy', 'Courbevoic', 'Maisons-Alfort', 'Créteil', 'Saint-Maur-des-Fossés', 'Noisy-le-Grand', 'Montreuil'], ['Cergy', 'Calais'], ['Cergy', 'Le Mans', 'Saint-Nazaire', 'Nantes', 'Angers', 'Tours', 'Orléans', 'Courcouronnes', 'Antony', 'Rueil-Malmaison'], ['Cergy', 'Nanterre', 'Issy-les-Moulineaux', 'Ivry-sur-Seine', 'Maisons-Alfort', 'Saint-Maur-des-Fossés', 'Champigny-sur-Marne', 'Noisy-le-Grand', 'Aulnay-sous-Bois', 'Le Blanc-Mesnil', 'Drancy', 'Sarcelles'], ['Cergy', 'Versailles', 'Courcouronnes', 'Tours', 'Nantes', 'Saint-Nazaire', 'Lorient'], ['Cergy', 'Courbevoic', 'Neuilly-sur-Seine', 'Levallois-Perret', 'Clichy', 'Carrières-sur-Seine', 'Colombes'], ['Cergy', 'Épinay-sur-Seine', 'Saint-Denis', 'Drancy', 'Aubervilliers', 'Argenteuil'], ['Cergy', 'Boulogne-Billancourt', 'Antony', 'Courcouronnes', 'Champigny-sur-Marne', 'Noisy-le-Grand', 'Meaux', 'Amiens', 'Rouen', 'Caen']]"
8,Cergy,2021-01-09,"[['Cergy', 'Épinay-sur-Seine', 'Saint-Denis', 'Aubervilliers', 'Pantin', 'Ivry-sur-Seine', 'Paris', 'Levallois-Perret'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy', 'Le Mans', 'Nantes', 'Saint-Nazaire', 'Quimper', 'Brest'], ['Cergy', 'Sarcelles', 'Drancy', 'Le Blanc-Mesnil', 'Aulnay-sous-Bois', 'Meaux', 'Amiens'], ['Cergy', 'Calais'], ['Cergy', 'Courbevoic', 'Neuilly-sur-Seine', 'Paris', 'Ivry-sur-Seine', 'Vitry-sur-Seine', 'Boulogne-Billancourt', 'Rueil-Malmaison'], ['Cergy', 'Carrières-sur-Seine', 'Maisons-Alfort', 'Créteil', 'Courcouronnes', 'Orléans', 'Tours', 'Versailles'], ['Cergy', 'Amiens', 'Dunkerque', 'Boulogne-sur-Mer', 'Cherbourg', 'Caen', 'Le Havre'], ['Cergy', 'Pantin', 'Créteil', 'Maisons-Alfort', 'Courbevoic'], ['Cergy', 'Courbevoic', 'Neuilly-sur-Seine', 'Levallois-Perret', 'Clichy', 'Courbevoic'], ['Cergy', 'Argenteuil', 'Épinay-sur-Seine'], ['Cergy'], ['Cergy', 'Carrières-sur-Seine', 'Levallois-Perret', 'Courbevoic'], ['Cergy', 'Nanterre', 'Boulogne-Billancourt', 'Antony', 'Paris', 'Levallois-Perret'], ['Cergy', 'Colombes', 'Maisons-Alfort', 'Créteil', 'Saint-Maur-des-Fossés', 'Champigny-sur-Marne', 'Noisy-le-Grand', 'Drancy'], ['Cergy', 'Rennes', 'Angers']]"
9,Cergy,2021-01-10,"[['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy'], ['Cergy', 'Colombes', 'Courbevoic', 'Neuilly-sur-Seine', 'Courbevoic'], ['Cergy', 'Angers'], ['Cergy', 'Rouen', 'Le Havre', 'Lorient', 'Saint-Nazaire'], ['Cergy', 'Beauvais', 'Boulogne-sur-Mer'], ['Cergy', 'Amiens', 'Dunkerque', 'Calais'], ['Cergy', 'Nanterre', 'Rueil-Malmaison', 'Boulogne-Billancourt', 'Levallois-Perret', 'Carrières-sur-Seine', 'Argenteuil'], ['Cergy', 'Caen', 'Nantes', 'Angers', 'Tours', 'Orléans', 'Vitry-sur-Seine', 'Maisons-Alfort', 'Ivry-sur-Seine', 'Issy-les-Moulineaux', 'Versailles', 'Rueil-Malmaison'], ['Cergy', 'Courbevoic', 'Maisons-Alfort', 'Créteil', 'Saint-Maur-des-Fossés', 'Champigny-sur-Marne', 'Noisy-le-Grand', 'Meaux', 'Aulnay-sous-Bois', 'Épinay-sur-Seine'], ['Cergy', 'Carrières-sur-Seine', 'Clichy', 'Paris', 'Levallois-Perret'], ['Cergy', 'Argenteuil', 'Saint-Denis', 'Paris', 'Levallois-Perret'], ['Cergy', 'Argenteuil', 'Aubervilliers', 'Pantin'], ['Cergy', 'Boulogne-Billancourt', 'Antony', 'Courcouronnes', 'Vitry-sur-Seine', 'Ivry-sur-Seine', 'Montreuil'], ['Cergy', 'Carrières-sur-Seine', 'Levallois-Perret'], ['Cergy', 'Épinay-sur-Seine'], ['Cergy'], ['Cergy', 'Sarcelles', 'Le Blanc-Mesnil', 'Aulnay-sous-Bois', 'Drancy'], ['Cergy', 'Le Mans', 'Rennes', 'Quimper', 'Brest', 'Cherbourg']]"
